,SurveyID,Age,Type,Employed,FullPart,OwnCell,UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,Comfort,BQ9a,Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001,Gender,PAnxiety,PBIntent,PAffect,PGL_sum,Income,Education
196,W018,66.0,1,1.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.25,1.0,,1.0,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,5.0,0.0,2.0,-2.0,2,2,1,3,3,3,3,5,1,5,1,5.0,1.0,4,3,3,,1,0,1.6666666666666667,3.0,3.0,10,1.0,2
197,W032,66.0,1,2.0,,6.0,6.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,,,,,,,,1.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,0.0,2,2,2,4,4,3,2,4,4,5,3,4.5,3.5,5,6,5,,5,1,2.0,4.0,3.25,16,5.0,5
198,W035,66.0,1,2.0,,32.0,32.0,1.0,5.0,4.0,12.0,2.0,1.0,0.25,,,,,,,,,,1.0,0.0,0.0,5.0,4.0,3.0,8.0,3.0,6.0,2.0,1,1,1,7,7,1,7,7,1,7,1,7.0,1.0,10,10,10,,1,0,1.0,4.0,5.5,30,1.0,2
199,W061,66.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,,1.0,,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,4.0,0.0,5,1,4,5,5,2,4,7,1,7,1,7.0,1.0,5,5,5,,3,1,3.3333333333333335,4.0,4.0,15,1.0,4
200,W091,66.0,1,2.0,,13.0,13.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,,,,,,1.0,,,1.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,0.0,1,1,1,2,2,2,1,2,2,2,2,2.0,2.0,8,8,8,,3,1,1.0,2.0,1.75,24,1.0,4
201,W096,66.0,1,2.0,,15.0,15.0,1.0,5.0,4.0,12.0,3.0,2.0,0.75,,,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,6.0,1.0,6.0,2.0,1,1,1,7,4,4,2,7,1,7,1,7.0,1.0,6,7,8,,2,0,1.0,4.0,4.25,21,1.0,3
202,W111,66.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,,1.0,,,,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,3.0,-2.0,3.0,-1.0,1,1,1,3,2,2,1,3,2,4,1,3.5,1.5,3,3,2,,3,1,1.0,2.5,2.0,8,5.0,4
203,W172,66.0,1,2.0,,10.0,10.0,1.0,6.0,5.0,28.0,5.0,4.0,1.75,,,,1.0,1.0,,,,,2.0,1.0,3.0,4.0,3.0,2.0,6.0,1.0,6.0,2.0,7,5,7,7,7,6,6,6,6,6,7,6.0,6.5,7,8,10,,3,0,6.333333333333333,6.25,6.5,25,1.0,4
204,W233,66.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,1.0,,,,,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,4.0,-1.0,3.0,-1.0,2,2,1,7,4,1,1,1,1,7,1,4.0,1.0,4,4,4,,3,1,1.6666666666666667,2.5,3.25,12,5.0,4
205,W253,66.0,2,2.0,,15.0,15.0,1.0,7.0,6.0,56.0,4.0,3.0,1.25,1.0,1.0,1.0,,,1.0,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,7.0,2.0,6.0,2.0,1,1,1,7,6,6,1,7,4,7,4,7.0,4.0,10,10,10,,2,1,1.0,5.5,5.0,30,1.0,3
206,W257,66.0,1,2.0,,7.0,7.0,1.0,6.0,5.0,28.0,2.0,1.0,0.25,1.0,,,,,,1.0,,,2.0,1.0,3.0,3.0,2.0,1.0,4.0,-1.0,4.0,0.0,3,3,3,4,3,3,3,3,3,3,3,3.0,3.0,4,4,4,,2,0,3.0,3.0,3.25,12,2.0,3
207,W034,67.0,1,1.0,2.0,6.0,6.0,1.0,7.0,6.0,56.0,7.0,6.0,3.5,,,,,,,1.0,,,1.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,3.0,-1.0,2,2,4,3,2,2,2,5,2,5,2,5.0,2.0,5,4,3,,4,0,2.6666666666666665,3.5,2.25,12,4.0,4
208,W191,67.0,1,2.0,,15.0,15.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,,,,,,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,8.0,3.0,4.0,0.0,1,1,1,1,1,5,7,7,1,7,1,7.0,1.0,10,10,10,,4,1,1.0,4.0,3.5,30,2.0,4
